LSOA code (2011),"Education, Skills and Training Score",Health Deprivation and Disability Score,Crime Score,Living Environment Score,Income Deprivation Affecting Children Index (IDACI) Score (rate),Children and Young People Sub-domain Score
E01017254,16.542,0.421,0.675,36.781,0.177,0.303
E01017255,16.187,0.168,0.542,27.301,0.061,-0.115
E01017256,16.750,-0.183,0.438,28.209,0.110,0.010
E01017257,25.170,0.492,0.564,66.811,0.108,0.402
E01017258,30.796,0.532,0.477,32.931,0.231,0.815
E01017259,26.118,0.081,0.562,26.467,0.093,0.559
E01017260,33.013,0.743,0.471,22.408,0.079,0.958
E01017261,18.427,0.331,0.912,38.995,0.086,0.302
E01017262,44.202,0.247,0.495,13.982,0.130,1.000
E01017263,37.476,0.791,0.326,29.152,0.225,0.935
E01017264,35.758,1.420,0.437,39.002,0.243,1.086
E01017265,45.418,0.993,0.571,22.322,0.254,0.998
E01017266,53.597,0.286,1.522,55.059,0.328,1.365
E01017267,32.279,0.403,1.171,64.285,0.163,0.866
E01017270,31.147,0.907,-0.038,40.856,0.208,0.860
E01017271,7.525,0.409,1.378,28.587,0.196,-0.789
E01017272,42.564,0.680,0.806,40.773,0.269,0.793
E01017273,8.781,0.874,0.309,26.351,0.068,-0.345
E01017274,72.917,1.194,1.461,20.122,0.295,1.536
E01017275,21.150,0.283,1.058,32.733,0.168,0.414
E01017276,25.411,0.873,1.359,50.926,0.269,0.305
E01017277,30.305,0.363,0.910,28.237,0.160,0.457
E01017278,20.454,0.175,0.972,40.933,0.309,0.464
E01017279,25.948,-0.104,0.781,18.413,0.140,0.688
E01017280,70.176,1.381,2.144,23.524,0.372,1.664
E01017281,66.532,1.433,1.113,25.138,0.450,1.422
E01017282,35.720,0.129,-0.095,30.770,0.206,1.050
E01017283,14.633,-0.134,0.070,36.208,0.094,0.046
E01017284,14.123,-0.706,-1.369,20.002,0.095,0.128
E01017285,15.489,-0.481,-0.593,11.861,0.201,0.177
E01017286,10.970,-0.208,-0.823,18.014,0.050,0.016
E01017287,8.522,-0.335,-1.367,10.176,0.047,-0.693
E01017288,11.817,-0.414,-0.645,21.489,0.123,-0.124
E01017289,35.830,-0.017,-0.290,34.551,0.291,0.995
E01017290,11.834,-0.163,-1.051,70.414,0.065,-0.166
E01017291,12.495,0.021,-1.436,40.753,0.065,0.045
E01017292,17.872,-0.508,-0.104,26.080,0.142,0.283
E01017293,14.564,-0.334,-0.364,3.879,0.095,0.140
E01017294,10.186,-0.280,-0.288,47.694,0.086,-0.222
E01017295,40.232,0.558,-0.503,18.574,0.358,1.123
E01017296,19.298,-0.228,-0.663,63.869,0.068,0.373
E01017297,20.825,-0.403,-0.651,64.052,0.153,0.514
E01017298,15.756,-0.462,-1.819,55.700,0.086,0.142
E01017299,22.736,-0.111,-0.728,66.474,0.156,0.587
E01017300,7.912,-0.447,0.193,32.191,0.148,-0.142
E01017301,8.649,-0.528,-1.111,14.437,0.039,-0.191
E01017302,14.183,-0.519,-1.140,15.084,0.060,0.120
E01017303,7.382,0.031,-0.105,44.732,0.095,-0.352
E01017304,18.720,0.134,-0.579,27.113,0.113,0.376
E01017305,21.039,0.144,-0.630,41.446,0.200,0.626
E01017306,31.517,-0.109,-0.242,33.615,0.193,0.850
E01017307,29.250,-0.032,-0.653,12.080,0.177,0.901
E01017308,22.678,0.325,-0.346,29.055,0.147,0.516
E01017309,30.440,0.075,-0.342,51.153,0.194,1.016
E01017310,16.101,0.006,0.649,25.851,0.089,-0.182
E01017311,25.745,0.001,-0.037,20.845,0.104,0.566
E01017312,23.882,0.469,-0.254,26.722,0.239,0.478
E01017315,47.689,0.378,-0.515,15.977,0.154,1.297
E01017316,8.771,-0.069,-0.614,25.111,0.054,-0.178
E01017317,26.964,0.118,0.245,11.835,0.155,0.603
